Question Title,Question Slug,Question ID,Question Text,Topic Tagged text,Topic Tagged ID,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
Intersection of Two Arrays,intersection-of-two-arrays,349,"Given two integer arrays nums1 and nums2, return an array of their intersection. Each element in the result must be unique and you may return the result in any order. ","Array,Hash Table,Two Pointers,Binary Search,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjYxMDQ5",Easy,76.5,2015459,1542064,,6469,2321,,"350,1149,1392,2190,2282,2331,2634,3228","Intersection of Two Arrays II,Intersection of Three Sorted Arrays,Find the Difference of Two Arrays,Count Common Words With One Occurrence,Choose Numbers From Two Arrays in Range,Intersection of Multiple Arrays,Minimum Common Value,Maximum Size of a Set After Removals"
Intersection of Two Arrays II,intersection-of-two-arrays-ii,350,"Given two integer arrays nums1 and nums2, return an array of their intersection. Each element in the result must appear as many times as it shows in both arrays and you may return the result in any order. ","Array,Hash Table,Two Pointers,Binary Search,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjYxMDQ5",Easy,59.1,2648842,1565181,,7926,995,,"349,1044,1392,2282,2331,2634","Intersection of Two Arrays,Find Common Characters,Find the Difference of Two Arrays,Choose Numbers From Two Arrays in Range,Intersection of Multiple Arrays,Minimum Common Value"
Android Unlock Patterns,android-unlock-patterns,351,,"Dynamic Programming,Backtracking,Bit Manipulation,Bitmask","VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjYxMDc4",Medium,53.4,151701,81013,,200,233,,,
Data Stream as Disjoint Intervals,data-stream-as-disjoint-intervals,352,"Given a data stream input of non-negative integers a1, a2, ..., an, summarize the numbers seen so far as a list of disjoint intervals. Implement the SummaryRanges class: ","Binary Search,Design,Ordered Set","VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDcw",Hard,59.5,201193,119724,,1781,368,,"228,436,715,2357","Summary Ranges,Find Right Interval,Range Module,Count Integers in Intervals"
Design Snake Game,design-snake-game,353,,"Array,Hash Table,Design,Queue,Simulation","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjM0,VG9waWNUYWdOb2RlOjYxMDU1",Medium,39.7,249979,99248,,996,348,,,
Russian Doll Envelopes,russian-doll-envelopes,354,"You are given a 2D array of integers envelopes where envelopes[i] = [wi, hi] represents the width and the height of an envelope. One envelope can fit into another if and only if both the width and height of one envelope are greater than the other envelope's width and height. Return the maximum number of envelopes you can Russian doll (i.e., put one inside the other). Note: You cannot rotate an envelope. ","Array,Binary Search,Dynamic Programming,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDQ5",Hard,37.3,692189,258440,,6257,159,,"300,2123,2869","Longest Increasing Subsequence,The Number of Weak Characters in the Game,Longest Non-decreasing Subarray From Two Arrays"
Design Twitter,design-twitter,355,"Design a simplified version of Twitter where users can post tweets, follow/unfollow another user, and is able to see the 10 most recent tweets in the user's news feed. Implement the Twitter class: ","Hash Table,Linked List,Design,Heap (Priority Queue)","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDUw",Medium,42.7,618484,264244,,4312,609,,1640,Design a File Sharing System
Line Reflection,line-reflection,356,,"Array,Hash Table,Math","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjg=",Medium,36.0,122600,44163,,311,636,"Find the smallest and largest x-value for all points. If there is a line then it should be at y = (minX + maxX) / 2. For each point, make sure that it has a reflected point in the opposite side.","149,447","Max Points on a Line,Number of Boomerangs"
Count Numbers with Unique Digits,count-numbers-with-unique-digits,357,"Given an integer n, return the count of all numbers with unique digits, x, where 0 <= x < 10n. ","Math,Dynamic Programming,Backtracking","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE0",Medium,54.4,302738,164654,,1632,1511,"A direct way is to use the backtracking approach. Backtracking should contains three states which are (the current number, number of steps to get that number and a bitmask which represent which number is marked as visited so far in the current number). Start with state (0,0,0) and count all valid number till we reach number of steps equals to 10n. This problem can also be solved using a dynamic programming approach and some knowledge of combinatorics. Let f(k) = count of numbers with unique digits with length equals k. f(1) = 10, ..., f(k) = 9 * 9 * 8 * ... (9 - k + 2) [The first factor is 9 because a number cannot start with 0].","2457,3343","Count Special Integers,Count Numbers With Unique Digits II"
Rearrange String k Distance Apart,rearrange-string-k-distance-apart,358,,"Hash Table,String,Greedy,Sorting,Heap (Priority Queue),Counting","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDYy",Hard,39.4,177906,70036,,982,39,,"621,778,2300","Task Scheduler,Reorganize String,Construct String With Repeat Limit"
Logger Rate Limiter,logger-rate-limiter,359,,"Hash Table,Design,Data Stream","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDYz",Easy,76.6,478667,366742,,1781,196,,362,Design Hit Counter
Sort Transformed Array,sort-transformed-array,360,,"Array,Math,Two Pointers,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjYxMDQ5",Medium,57.1,125787,71836,,694,217,"x^2 + x  will form a parabola. Parameter A in:  A * x^2 + B * x + C dictates the shape of the parabola.
Positive A means the parabola remains concave (high-low-high), but negative A inverts the parabola to be convex (low-high-low).","1019,2665","Squares of a Sorted Array,Minimum Time to Repair Cars"
Bomb Enemy,bomb-enemy,361,,"Array,Dynamic Programming,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDUz",Medium,52.7,160886,84732,,998,116,,"2192,2200,2343,2363","Minimum Cost Homecoming of a Robot in a Grid,Stamping the Grid,Count Unguarded Cells in the Grid,Maximum Trailing Zeros in a Cornered Path"
Design Hit Counter,design-hit-counter,362,,"Array,Binary Search,Design,Queue,Data Stream","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjM0,VG9waWNUYWdOb2RlOjYxMDYz",Medium,69.2,413347,286086,,2093,245,,359,Logger Rate Limiter
Max Sum of Rectangle No Larger Than K,max-sum-of-rectangle-no-larger-than-k,363,"Given an m x n matrix matrix and an integer k, return the max sum of a rectangle in the matrix such that its sum is no larger than k. It is guaranteed that there will be a rectangle with a sum no larger than k. ","Array,Binary Search,Matrix,Prefix Sum,Ordered Set","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjYxMDUz,VG9waWNUYWdOb2RlOjYxMDY4,VG9waWNUYWdOb2RlOjYxMDcw",Hard,44.7,300564,134333,,3513,175,,,
Nested List Weight Sum II,nested-list-weight-sum-ii,364,,"Stack,Depth-First Search,Breadth-First Search","VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy",Medium,65.6,234899,154063,,1153,473,,"339,565","Nested List Weight Sum,Array Nesting"
Water and Jug Problem,water-and-jug-problem,365,You are given two jugs with capacities x liters and y liters. You have an infinite water supply. Return whether the total amount of water in both jugs may reach target using the following operations: ,"Math,Depth-First Search,Breadth-First Search","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy",Medium,43.1,290357,125245,,1601,1502,,,
Find Leaves of Binary Tree,find-leaves-of-binary-tree,366,,"Tree,Depth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU3",Medium,81.1,341834,277155,,3276,63,,,
Valid Perfect Square,valid-perfect-square,367,"Given a positive integer num, return true if num is a perfect square or false otherwise. A perfect square is an integer that is the square of an integer. In other words, it is the product of some integer with itself. You must not use any built-in library function, such as sqrt. ","Math,Binary Search","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEx",Easy,44.2,1758652,777366,,4461,325,,"69,633","Sqrt(x),Sum of Square Numbers"
Largest Divisible Subset,largest-divisible-subset,368,"Given a set of distinct positive integers nums, return the largest subset answer such that every pair (answer[i], answer[j]) of elements in this subset satisfies: If there are multiple solutions, return any of them. ","Array,Math,Dynamic Programming,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDQ5",Medium,48.9,911209,445258,,6628,322,,,
Plus One Linked List,plus-one-linked-list,369,,"Linked List,Math","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjg=",Medium,61.2,138925,84994,,956,48,,"66,2871","Plus One,Double a Number Represented as a Linked List"
Range Addition,range-addition,370,,"Array,Prefix Sum","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDY4",Medium,72.4,138565,100256,,1661,86,"Thinking of using advanced data structures? You are thinking it too complicated. For each update operation, do you really need to update all elements between i and j? Update only the first and end element is sufficient. The optimal time complexity is O(k + n) and uses O(1) extra space.","598,2385,2465","Range Addition II,Count Positions on Street With Required Brightness,Shifting Letters II"
Sum of Two Integers,sum-of-two-integers,371,"Given two integers a and b, return the sum of the two integers without using the operators + and -. ","Math,Bit Manipulation","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjE5",Medium,53.7,1109892,596302,,4476,5719,,2,Add Two Numbers
Super Pow,super-pow,372,Your task is to calculate ab mod 1337 where a is a positive integer and b is an extremely large positive integer given in the form of an array. ,"Math,Divide and Conquer","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEy",Medium,35.5,245008,87032,,1017,1465,,50,"Pow(x, n)"
Find K Pairs with Smallest Sums,find-k-pairs-with-smallest-sums,373,"You are given two integer arrays nums1 and nums2 sorted in non-decreasing order and an integer k. Define a pair (u, v) which consists of one element from the first array and one element from the second array. Return the k pairs (u1, v1), (u2, v2), ..., (uk, vk) with the smallest sums. ","Array,Heap (Priority Queue)","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDUw",Medium,40.7,936901,381634,,6632,473,,"378,719,2150","Kth Smallest Element in a Sorted Matrix,Find K-th Smallest Pair Distance,Kth Smallest Product of Two Sorted Arrays"
Guess Number Higher or Lower,guess-number-higher-or-lower,374,"We are playing the Guess Game. The game is as follows: I pick a number from 1 to n. You have to guess which number I picked. Every time you guess wrong, I will tell you whether the number I picked is higher or lower than your guess. You call a pre-defined API int guess(int num), which returns three possible results: Return the number that I picked. ","Binary Search,Interactive","VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjYxMDU5",Easy,55.8,1541135,860281,,4020,638,,"278,375,658","First Bad Version,Guess Number Higher or Lower II,Find K Closest Elements"
Guess Number Higher or Lower II,guess-number-higher-or-lower-ii,375,"We are playing the Guessing Game. The game will work as follows: Given a particular n, return the minimum amount of money you need to guarantee a win regardless of what number I pick. ","Math,Dynamic Programming,Game Theory","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDcz",Medium,51.2,282048,144348,,2250,2156,"The best strategy to play the game is to minimize the maximum loss you could possibly face. Another strategy is to minimize the expected loss. Here, we are interested in the first scenario. Take a small example (n = 3). What do you end up paying in the worst case? Check out this article if you're still stuck. The purely recursive implementation of minimax would be worthless for even a small n. You MUST use dynamic programming. As a follow-up, how would you modify your code to solve the problem of minimizing the expected loss, instead of the worst-case loss?","294,374,464,658","Flip Game II,Guess Number Higher or Lower,Can I Win,Find K Closest Elements"
Wiggle Subsequence,wiggle-subsequence,376,"A wiggle sequence is a sequence where the differences between successive numbers strictly alternate between positive and negative. The first difference (if one exists) may be either positive or negative. A sequence with one element and a sequence with two non-equal elements are trivially wiggle sequences. A subsequence is obtained by deleting some elements (possibly zero) from the original sequence, leaving the remaining elements in their original order. Given an integer array nums, return the length of the longest wiggle subsequence of nums. ","Array,Dynamic Programming,Greedy","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE3",Medium,48.9,555437,271391,,5232,167,,2271,Rearrange Array Elements by Sign
Combination Sum IV,combination-sum-iv,377,"Given an array of distinct integers nums and a target integer target, return the number of possible combinations that add up to target. The test cases are generated so that the answer can fit in a 32-bit integer. ","Array,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz",Medium,54.6,1011605,552815,,7593,687,,"39,2882","Combination Sum,Ways to Express an Integer as Sum of Powers"
Kth Smallest Element in a Sorted Matrix,kth-smallest-element-in-a-sorted-matrix,378,"Given an n x n matrix where each of the rows and columns is sorted in ascending order, return the kth smallest element in the matrix. Note that it is the kth smallest element in the sorted order, not the kth distinct element. You must find a solution with a memory complexity better than O(n2). ","Array,Binary Search,Sorting,Heap (Priority Queue),Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDUz",Medium,63.6,1133126,720660,,10278,378,,"373,668,719,802","Find K Pairs with Smallest Sums,Kth Smallest Number in Multiplication Table,Find K-th Smallest Pair Distance,K-th Smallest Prime Fraction"
Design Phone Directory,design-phone-directory,379,,"Array,Hash Table,Linked List,Design,Queue","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjM0",Medium,52.4,135766,71097,,360,477,,1955,Seat Reservation Manager
Insert Delete GetRandom O(1),insert-delete-getrandom-o1,380,Implement the RandomizedSet class: You must implement the functions of the class such that each function works in average O(1) time complexity. ,"Array,Hash Table,Math,Design,Randomized","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDc1",Medium,55.0,2171425,1194223,,9642,677,,381,Insert Delete GetRandom O(1) - Duplicates allowed
Insert Delete GetRandom O(1) - Duplicates allowed,insert-delete-getrandom-o1-duplicates-allowed,381,"RandomizedCollection is a data structure that contains a collection of numbers, possibly duplicates (i.e., a multiset). It should support inserting and removing specific elements and also reporting a random element. Implement the RandomizedCollection class: You must implement the functions of the class such that each function works on average O(1) time complexity. Note: The test cases are generated such that getRandom will only be called if there is at least one item in the RandomizedCollection. ","Array,Hash Table,Math,Design,Randomized","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDc1",Hard,35.8,463427,165848,,2362,153,,380,Insert Delete GetRandom O(1)
Linked List Random Node,linked-list-random-node,382,"Given a singly linked list, return a random node's value from the linked list. Each node must have the same probability of being chosen. Implement the Solution class: ","Linked List,Math,Reservoir Sampling,Randomized","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjM2,VG9waWNUYWdOb2RlOjYxMDc1",Medium,64.0,417078,266906,,3158,717,,398,Random Pick Index
Ransom Note,ransom-note,383,"Given two strings ransomNote and magazine, return true if ransomNote can be constructed by using the letters from magazine and false otherwise. Each letter in magazine can only be used once in ransomNote. ","Hash Table,String,Counting","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDYy",Easy,64.6,2533515,1635780,,5379,527,,"691,1112","Stickers to Spell Word,Find Words That Can Be Formed by Characters"
Shuffle an Array,shuffle-an-array,384,"Given an integer array nums, design an algorithm to randomly shuffle the array. All permutations of the array should be equally likely as a result of the shuffling. Implement the Solution class: ","Array,Math,Design,Randomized","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDc1",Medium,59.1,624129,368589,,1394,941,The solution expects that we always use the original array to shuffle() else some of the test cases fail. (Credits; @snehasingh31),,
Mini Parser,mini-parser,385,"Given a string s represents the serialization of a nested list, implement a parser to deserialize it and return the deserialized NestedInteger. Each element is either an integer or a list whose elements may also be integers or other lists. ","String,Stack,Depth-First Search","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjIx",Medium,40.3,162120,65270,,475,1466,,"341,439,722","Flatten Nested List Iterator,Ternary Expression Parser,Remove Comments"
Lexicographical Numbers,lexicographical-numbers,386,"Given an integer n, return all the numbers in the range [1, n] sorted in lexicographical order. You must write an algorithm that runs in O(n) time and uses O(1) extra space. ","Depth-First Search,Trie","VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjI3",Medium,76.0,475713,361546,,3045,210,,,
First Unique Character in a String,first-unique-character-in-a-string,387,"Given a string s, find the first non-repeating character in it and return its index. If it does not exist, return -1. ","Hash Table,String,Queue,Counting","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjM0,VG9waWNUYWdOb2RlOjYxMDYy",Easy,63.7,3183509,2028878,,9321,312,,"451,2427","Sort Characters By Frequency,First Letter to Appear Twice"
Longest Absolute File Path,longest-absolute-file-path,388,"Suppose we have a file system that stores both files and directories. An example of one system is represented in the following picture:  Here, we have dir as the only directory in the root. dir contains two subdirectories, subdir1 and subdir2. subdir1 contains a file file1.ext and subdirectory subsubdir1. subdir2 contains a subdirectory subsubdir2, which contains a file file2.ext. In text form, it looks like this (with ⟶ representing the tab character): If we were to write this representation in code, it will look like this: ""dir\n\tsubdir1\n\t\tfile1.ext\n\t\tsubsubdir1\n\tsubdir2\n\t\tsubsubdir2\n\t\t\tfile2.ext"". Note that the '\n' and '\t' are the new-line and tab characters. Every file and directory has a unique absolute path in the file system, which is the order of directories that must be opened to reach the file/directory itself, all concatenated by '/'s. Using the above example, the absolute path to file2.ext is ""dir/subdir2/subsubdir2/file2.ext"". Each directory name consists of letters, digits, and/or spaces. Each file name is of the form name.extension, where name and extension consist of letters, digits, and/or spaces. Given a string input representing the file system in the explained format, return the length of the longest absolute path to a file in the abstracted file system. If there is no file in the system, return 0. Note that the testcases are generated such that the file system is valid and no file or directory name has length 0. ","String,Stack,Depth-First Search","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjIx",Medium,48.4,352205,170469,,1344,2571,,,
Find the Difference,find-the-difference,389,You are given two strings s and t. String t is generated by random shuffling string s and then add one more letter at a random position. Return the letter that was added to t. ,"Hash Table,String,Bit Manipulation,Sorting","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjYxMDQ5",Easy,59.7,1536783,917883,,5232,497,,"136,3412","Single Number,Permutation Difference between Two Strings"
Elimination Game,elimination-game,390,"You have a list arr of all integers in the range [1, n] sorted in a strictly increasing order. Apply the following algorithm on arr: Given the integer n, return the last number that remains in arr. ","Math,Recursion","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjMx",Medium,44.8,199883,89600,,1656,737,,2386,Min Max Game
Perfect Rectangle,perfect-rectangle,391,"Given an array rectangles where rectangles[i] = [xi, yi, ai, bi] represents an axis-aligned rectangle. The bottom-left point of the rectangle is (xi, yi) and the top-right point of it is (ai, bi). Return true if all the rectangles together form an exact cover of a rectangular region. ","Array,Line Sweep","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjU2MTE5",Hard,35.3,145494,51355,,915,120,,,
Is Subsequence,is-subsequence,392,"Given two strings s and t, return true if s is a subsequence of t, or false otherwise. A subsequence of a string is a new string that is formed from the original string by deleting some (can be none) of the characters without disturbing the relative positions of the remaining characters. (i.e., ""ace"" is a subsequence of ""abcde"" while ""aec"" is not). ","Two Pointers,String,Dynamic Programming","VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz",Easy,48.4,4329473,2095539,,10306,583,,"808,1051,2572,3018","Number of Matching Subsequences,Shortest Way to Form String,Append Characters to String to Make Subsequence,Make String a Subsequence Using Cyclic Increments"
UTF-8 Validation,utf-8-validation,393,"Given an integer array data representing the data, return whether it is a valid UTF-8 encoding (i.e. it translates to a sequence of valid UTF-8 encoded characters). A character in UTF8 can be from 1 to 4 bytes long, subjected to the following rules: This is how the UTF-8 encoding would work: x denotes a bit in the binary form of a byte that may be either 0 or 1. Note: The input is an array of integers. Only the least significant 8 bits of each integer is used to store the data. This means each integer represents only 1 byte of data. ","Array,Bit Manipulation","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE5",Medium,45.5,290742,132336,,932,2886,"Read the data integer by integer. When you read it, process the least significant 8 bits of it. Assume the next encoding is 1-byte data. If it is not 1-byte data, read the next integer and assume it is 2-bytes data. Similarly, if it is not 2-bytes data, try 3-bytes then 4-bytes. If you read four integers and it still does not match any pattern, return false.",,
Decode String,decode-string,394,"Given an encoded string, return its decoded string. The encoding rule is: k[encoded_string], where the encoded_string inside the square brackets is being repeated exactly k times. Note that k is guaranteed to be a positive integer. You may assume that the input string is always valid; there are no extra white spaces, square brackets are well-formed, etc. Furthermore, you may assume that the original data does not contain any digits and that digits are only for those repeat numbers, k. For example, there will not be input like 3a or 2[4]. The test cases are generated so that the length of the output will never exceed 105. ","String,Stack,Recursion","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjMx",Medium,61.2,1678081,1026805,,13417,663,,"471,726,1076","Encode String with Shortest Length,Number of Atoms,Brace Expansion"
Longest Substring with At Least K Repeating Characters,longest-substring-with-at-least-k-repeating-characters,395,"Given a string s and an integer k, return the length of the longest substring of s such that the frequency of each character in this substring is greater than or equal to k. if no such substring exists, return 0. ","Hash Table,String,Divide and Conquer,Sliding Window","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEy,VG9waWNUYWdOb2RlOjU1ODIx",Medium,45.5,582314,264750,,6500,553,,"2140,2209,2487,3225,3266,3267","Longest Subsequence Repeated k Times,Number of Equal Count Substrings,Optimal Partition of String,Length of Longest Subarray With at Most K Frequency,Find Longest Special Substring That Occurs Thrice II,Find Longest Special Substring That Occurs Thrice I"
Rotate Function,rotate-function,396,"You are given an integer array nums of length n. Assume arrk to be an array obtained by rotating nums by k positions clock-wise. We define the rotation function F on nums as follow: Return the maximum value of F(0), F(1), ..., F(n-1). The test cases are generated so that the answer fits in a 32-bit integer. ","Array,Math,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz",Medium,44.1,225767,99523,,1626,274,,,
Integer Replacement,integer-replacement,397,"Given a positive integer n, you can apply one of the following operations: Return the minimum number of operations needed for n to become 1. ","Dynamic Programming,Greedy,Bit Manipulation,Memoization","VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjMz",Medium,36.5,388803,142050,,1377,482,,,
Random Pick Index,random-pick-index,398,"Given an integer array nums with possible duplicates, randomly output the index of a given target number. You can assume that the given target number must exist in the array. Implement the Solution class: ","Hash Table,Math,Reservoir Sampling,Randomized","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjM2,VG9waWNUYWdOb2RlOjYxMDc1",Medium,64.5,438560,283082,,1364,1303,,"382,894,912","Linked List Random Node,Random Pick with Blacklist,Random Pick with Weight"
Evaluate Division,evaluate-division,399,"You are given an array of variable pairs equations and an array of real numbers values, where equations[i] = [Ai, Bi] and values[i] represent the equation Ai / Bi = values[i]. Each Ai or Bi is a string that represents a single variable. You are also given some queries, where queries[j] = [Cj, Dj] represents the jth query where you must find the answer for Cj / Dj = ?. Return the answers to all queries. If a single answer cannot be determined, return -1.0. Note: The input is always valid. You may assume that evaluating the queries will not result in division by zero and that there is no contradiction. Note: The variables that do not occur in the list of equations are undefined, so the answer cannot be determined for them. ","Array,String,Depth-First Search,Breadth-First Search,Union Find,Graph,Shortest Path","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjIz,VG9waWNUYWdOb2RlOjI0,VG9waWNUYWdOb2RlOjYxMDc2",Medium,63.2,963905,608924,,9812,1040,Do you recognize this as a graph problem?,"2065,3613","Check for Contradictions in Equations,Maximize Amount After Two Days of Conversions"
Nth Digit,nth-digit,400,"Given an integer n, return the nth digit of the infinite integer sequence [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, ...]. ","Math,Binary Search","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEx",Medium,35.7,312805,111730,,1163,2101,,,
